,name,lat,lng
250,새마을식당,37.4829672,126.9957546
251,롤링파스타,37.52232055,127.02769395302175
252,빽다방,37.4868245,126.92826163958044
253,빽다방,37.4910095,126.8377379
254,홍콩반점0410,37.6176696,127.0225327
255,홍콩반점0410,37.57002,127.05467
256,롤링파스타,37.5550706,126.92382487891514
257,빽다방,37.5473613,127.1063934
258,홍콩반점0410,37.5573562,126.8699304
259,한신포차,37.5821906,127.087964
260,홍콩반점0410,37.5160858,126.8653486
261,롤링파스타,37.5587387,126.9379396
262,빽다방,37.5110368,127.1154926
263,리춘시장,37.58755,127.00217
264,롤링파스타,37.58096,127.0051932
265,롤링파스타,37.65874,127.0713
266,역전우동0410,37.56619,126.8255083
267,빽다방,37.4683168,126.9201938
268,인생설렁탕,37.5926082,127.0525222
269,한신포차,37.5602544,126.8379412
270,롤링파스타,37.5695724,126.98783877556411
271,빽다방,37.5919435,126.9176608
272,롤링파스타,37.59202,127.01799
273,리춘시장,37.5176791,126.9074442
274,빽다방,37.4736078,127.0403251
275,빽다방,37.5422963,126.8376527
276,빽다방,37.4916114,126.9246859
277,새마을식당,37.5695162,126.9844513
278,리춘시장,37.4785768,126.9555777
279,빽다방,37.6550777,127.062258
280,역전우동0410,37.5612563,126.8124407
281,한신포차,37.5918445,127.0508727
282,빽다방,37.4824687,126.9421252
283,역전우동0410,37.5671609,126.8220048
284,새마을식당,37.56619,126.8255083
285,한신포차,37.5096477,126.9455378
286,원조쌈밥집,37.5794273,127.0094352
287,역전우동0410,37.4798337,127.1310225
288,빽다방,37.5728749,127.0720104
289,빽다방,37.5044377,127.0243757
290,홍콩반점0410,37.51198,127.12198
291,새마을식당,37.562866,127.0390679
292,백스비어,37.4758604,126.9796072
293,한신포차,37.5631274,126.8273842
294,한신포차,37.57066,126.84174
295,역전우동0410,37.55593415,126.92411855752641
296,백스비어,37.6118679,127.0322267
297,빽다방,37.598484,126.9140684
298,롤링파스타,37.5398794,127.07056
299,역전우동0410,37.4916114,126.9246859
300,빽다방,37.5111077,127.0211737
