,name,address
196,빽다방,서울특별시 중랑구 망우동 479
197,빽다방,서울특별시 광진구 군자로 108
198,새마을식당,서울특별시 양천구 중앙로36길 15
199,한신포차,서울특별시 영등포구 양평로 53
200,빽다방,서울특별시 성북구 아리랑로 75
201,역전우동0410,서울특별시 광진구 강변역로4길 10
202,막이오름,서울특별시 광진구 동일로22길 69-3
203,막이오름,서울특별시 강남구 도산대로13길 10
204,롤링파스타,서울특별시 성동구 마조로5길 8
205,미정국수0410,서울특별시 종로구 계동길 15
206,빽다방,서울특별시 강동구 올림픽로 770
207,홍콩반점0410,서울특별시 도봉구 마들로11길 73
208,빽다방,서울특별시 광진구 강변역로4길 10
209,인생설렁탕,서울특별시 성북구 고려대로24길 24
210,역전우동0410,서울특별시 서초구 우면동 721
211,새마을식당,서울특별시 영등포구 양평로 77
212,홍콩반점0410,서울특별시 양천구 목동서로 377
213,새마을식당,서울특별시 광진구 동일로22길 69
214,새마을식당,서울특별시 은평구 진흥로 17
215,빽다방,서울특별시 종로구 종로 289
216,리춘시장,서울특별시 관악구 신림로59길 24
217,빽다방,서울특별시 은평구 통일로 840
218,홍콩반점0410,서울특별시 중랑구 망우로 305
219,빽다방,서울특별시 성북구 오패산로 98
220,빽다방,서울특별시 동대문구 전농로 97-1
221,빽다방,서울특별시 강서구 공항대로 23
222,롤링파스타,서울특별시 은평구 연서로 217
223,홍콩반점0410,서울특별시 구로구 경인로47길 23
224,빽다방,서울특별시 도봉구 도봉로 479
225,빽다방,서울특별시 금천구 가산로 99
226,빽다방,서울특별시 강남구 선릉로 567
227,롤링파스타,서울특별시 강남구 도곡로 442
228,빽다방,서울특별시 송파구 문정동 618
229,빽다방,서울특별시 은평구 연서로 129
230,롤링파스타,서울특별시 노원구 마들로3길 15
231,인생설렁탕,서울특별시 동대문구 장한로2길 36
232,한신포차,서울특별시 영등포구 영중로10길 35
233,빽다방,서울특별시 구로구 개봉동 203-7
234,빽다방,서울특별시 마포구 월드컵로1길 14
235,빽다방,서울특별시 마포구 마포대로 179
236,빽다방,서울특별시 영등포구 양평동4가 114-1
237,홍콩반점0410,서울특별시 중구 다산로 128
238,빽다방,서울특별시 강동구 명일동 346-1
239,빽다방,서울특별시 도봉구 마들로11길 57
240,홍콩반점0410,서울특별시 강서구 금낭화로 95
241,빽다방,서울특별시 강서구 양천로 583
242,롤링파스타,서울특별시 구로구 구로동 1124-72
243,빽다방,서울특별시 성동구 하왕십리동 946-16
244,인생설렁탕,서울특별시 종로구 관철동 13-13
245,역전우동0410,서울특별시 중랑구 용마산로115길 127
246,역전우동0410,서울특별시 마포구 백범로 129
247,빽다방,서울특별시 관악구 봉천동 1686-11
248,리춘시장,서울특별시 서대문구 연세로9길 10-4
249,빽다방,서울특별시 광진구 구의동 199-8
250,새마을식당,서울특별시 서초구 효령로31길 28
251,롤링파스타,서울특별시 강남구 신사동 541-9
252,빽다방,서울특별시 관악구 신림동 1668-15
253,빽다방,서울특별시 구로구 오류동 148-2
254,홍콩반점0410,서울특별시 강북구 삼양로24길 19
255,홍콩반점0410,서울특별시 동대문구 답십리동 494-1
256,롤링파스타,서울특별시 마포구 서교동 344-15
257,빽다방,서울특별시 광진구 아차산로 380
258,홍콩반점0410,서울특별시 강서구 염창동 282-20
