name,address
미정국수0410,"서울특별시 영등포구 국제금융로 86, 지하1층 101호 (여의도동 롯데캐슬아이비)"
홍콩반점0410,서울특별시 강서구 마곡중앙로 161-11 02-3662
역전우동0410,"서울특별시 강남구 선릉로64길 17, 1층"
한신포차,서울시 동소문로20길 성북구 29-18
빽다방,"서울특별시 강서구 마곡중앙5로 1길 20, 1층"
빽다방,"서울특별시 노원구 상계로3길 21, 101호"
홍콩반점0410,서울특별시 강서구 내발산동 722-20
빽다방,서울특별시 중랑구 면목로 330-1 1층
역전우동0410,서울시 송파구 송파대로 111 파크하비오 202동 131호
빽다방,서울특별시 중구 다산로 131
역전우동0410,"서울특별시 강남구 테헤란로 10길 25, 104호"
새마을식당,서울시 서초구 서초대로 54길 24
홍콩반점0410,서울특별시 용산구 백범로90길 38 201호~202호
빽다방,서울시 은평구 진관동 87-3 웅신미켈란의아침 101호
빽다방,서울특별시 동대문구 왕산로 20
홍콩반점0410,서울특별시 관악구 남부순환로 1922
빽다방,"서울시 송파구 마천로 25, 1층"
돌배기집,서울특별시 강서구 공항대로46길 47
홍콩반점0410,"서울특별시 노원구 노해로 502, KT 노원지사 2층"
빽다방,"서울시 용산구 보광로59길 37, 1층"
홍콩반점0410,서울특별시 구로구 구로동로26길 125
빽다방,"서울시 구로구 구로동로26길 125, 1~2층"
역전우동0410,"서울시 강서구 강서로 39, 1층"
빽다방,"서울시 강서구 강서로 48, 1층"
빽다방,"서울시 구로구 오리로 1149, 랑데르 1층"
백철판0410,"서울시 동작구 만양로 108, 2층"
홍콩반점0410,"서울시 종로구 종로 344, 대우디오빌 2층 ( 동묘역점 4번출구 우측 대우디오빌 2층)"
빽다방,"서울시 양천구 목동동로 293, 현대41타워 1층 제1-10호"
역전우동0410,"서울시 강서구 화곡로 160, 1층"
역전우동0410,"서울 노원구 한글비석로 264, 중계그랜드프라자 118호 02)"
빽다방,서울시 영등포구 당산로 113 (당산동3가 378)
빽다방,"서울시 양천구 공항대로 564, 1층"
빽다방,"서울시 영등포구 양평로 28-1, 1층"
빽다방,"서울특별시 송파구 법원로11길 11, 문정현대지식산업센터1-1 A동 125호"
빽다방,"서울시 구로구 디지털로32길 79, 1층"
역전우동0410,서울시 구로구 디지털로32길 79 1층
홍콩반점0410,"서울시 금천구 시흥대로62길 18, 1층"
홍콩반점0410,서울특별시 광진구 아차산로51길 11
홍콩반점0410,서울특별시 구로구 시흥대로 557 (2층)
홍콩반점0410,서울특별시 서초구 서초대로54길 32
홍콩반점0410,"서울시 관악구 관악로 152, 1층"
홍콩반점0410,서울특별시 성북구 인촌로24가길 6 (2층)
홍콩반점0410,서울특별시 동대문구 경희대로 12-1
홍콩반점0410,"서울특별시 광진구 아차산로 221 - 건대입구역 1번출구 성수방향으로 15M 직진, 건대역부동산 2층"
홍콩반점0410,"서울시 강남구 테헤란로4길 27, 2층"
홍콩반점0410,서울특별시 중구 장충단로13길 11 (지하1층)
홍콩반점0410,"서울시 금천구 시흥대로 405, 2층"
홍콩반점0410,서울특별시 종로구 대학로10길 16 (지하1층)
홍콩반점0410,서울특별시 강남구 도곡로84길 6 (2층)
홍콩반점0410,"서울시 영등포구 양평로 70, 2층"
홍콩반점0410,서울특별시 동작구 만양로 110 (2층)
홍콩반점0410,서울시 강서구 강서로 33 2층 (화곡동 343-61)
홍콩반점0410,서울시 동작구 보라매로 5가길 16 204호
홍콩반점0410,"서울특별시 중구 명동10길 7-4 2, 2층"
홍콩반점0410,서울특별시 성북구 동소문로20나길 18 (지하1층)
홍콩반점0410,서울특별시 서초구 반포대로28길 16 (태림빌딩 지하)
홍콩반점0410,서울특별시 서초구 사평대로52길 1
홍콩반점0410,"서울특별시 관악구 과천대로 951, 나호 지하층(남현동, 연송빌딩)"
홍콩반점0410,서울특별시 서대문구 명물길 19
홍콩반점0410,"서울시 강남구 강남대로152길 43, 1~3층"
