,name,address,lat,lng
180,빽다방,서울특별시 영등포구 도림로 144,37.5000592,126.9056685
181,빽다방,서울특별시 성북구 한천로78길 63,37.612247,127.0643734
182,빽다방,서울특별시 성동구 아차산로17길 57,error,error
183,빽다방,서울특별시 양천구 중앙로 276,error,error
184,빽다방,서울특별시 강동구 성내동 319-27,37.52998,127.12875
185,빽다방,서울특별시 강북구 수유동 339-6,37.6352212,127.0090642
186,홍콩반점0410,서울특별시 관악구 난우길 20,error,error
187,리춘시장,서울특별시 성북구 동소문로20다길 6,error,error
188,홍콩반점0410,서울특별시 강남구 선릉로76길 22,error,error
189,백스비어,서울특별시 강서구 마곡중앙6로 85,error,error
190,본가,서울특별시 구로구 디지털로32길 97-22,error,error
191,빽다방,서울특별시 동작구 만양로 6,error,error
192,빽다방,서울특별시 도봉구 도봉로153길 20,error,error
193,빽다방,서울특별시 강북구 도봉로 352,error,error
194,역전우동0410,서울특별시 서대문구 창천동 18-83,error,error
195,역전우동0410,서울특별시 금천구 가산동 233-5,error,error
196,빽다방,서울특별시 중랑구 망우동 479,error,error
197,빽다방,서울특별시 광진구 군자로 108,37.5555362,127.0771029
198,새마을식당,서울특별시 양천구 중앙로36길 15,error,error
199,한신포차,서울특별시 영등포구 양평로 53,error,error
200,빽다방,서울특별시 성북구 아리랑로 75,37.6019037,127.0142114
201,역전우동0410,서울특별시 광진구 강변역로4길 10,error,error
202,막이오름,서울특별시 광진구 동일로22길 69-3,37.541906,127.0679944
203,막이오름,서울특별시 강남구 도산대로13길 10,error,error
204,롤링파스타,서울특별시 성동구 마조로5길 8,error,error
205,미정국수0410,서울특별시 종로구 계동길 15,error,error
206,빽다방,서울특별시 강동구 올림픽로 770,37.54128,127.12434
207,홍콩반점0410,서울특별시 도봉구 마들로11길 73,37.65404545,127.0512591
208,빽다방,서울특별시 광진구 강변역로4길 10,37.5352829,127.09379
209,인생설렁탕,서울특별시 성북구 고려대로24길 24,error,error
210,역전우동0410,서울특별시 서초구 우면동 721,error,error
211,새마을식당,서울특별시 영등포구 양평로 77,error,error
212,홍콩반점0410,서울특별시 양천구 목동서로 377,error,error
213,새마을식당,서울특별시 광진구 동일로22길 69,error,error
214,새마을식당,서울특별시 은평구 진흥로 17,37.6096307,126.9344732
215,빽다방,서울특별시 종로구 종로 289,error,error
216,리춘시장,서울특별시 관악구 신림로59길 24,37.4825865,126.9291556
217,빽다방,서울특별시 은평구 통일로 840,37.6410264,126.9159825
218,홍콩반점0410,서울특별시 중랑구 망우로 305,37.5968577,127.0862515
219,빽다방,서울특별시 성북구 오패산로 98,error,error
220,빽다방,서울특별시 동대문구 전농로 97-1,37.5697924,127.0570511
221,빽다방,서울특별시 강서구 공항대로 23,error,error
